"","price","bedrooms","bathrooms","Sqft_of_home","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","Sqft_of_livinge_room_2015","Sqft_of_lot_2015","Median_Income","Mean_Income","population","people_employed","people_educated","bachelor_degrees","grad_degrees","log_p"
"2174",270000,3,2.5,1670,8364,1,0,0,4,7,1300,370,1990,1490,8143,89352,102333,44894,23934,31039,6640,2815,12.5061772379805
"2175",638000,3,1,1830,4400,1.5,0,0,4,8,1720,110,1930,1650,4400,60563,89761,35052,22656,25268,9679,6099,13.3660935623269
"2176",460000,3,1.75,1400,2003,1,0,0,4,8,700,700,1908,1370,1281,73794,122395,23912,15342,17421,7218,5057,13.0389817684653
"2179",234000,3,1,1040,8128,1,0,0,3,6,1040,0,1983,1520,7500,96630,114944,11143,5672,7326,2416,731,12.3630763943398
"2181",488000,5,2,2020,5000,1.5,0,0,4,7,2020,0,1938,1510,6600,92316,108574,31921,19236,23976,9337,6322,13.0980706848353
"2183",499000,4,3,2030,12675,2,0,0,3,7,2030,0,1982,1990,7705,92938,124737,19328,9763,14653,5414,3500,13.1203613747337
"2184",150000,3,1,1450,6776,1,0,0,3,7,1450,0,1952,1680,7200,60839,74831,25363,12091,17242,3113,1370,11.9183905730784
"2185",333000,4,2.5,2400,7270,2,0,0,3,8,2400,0,1993,2150,6584,46250,61010,46008,21432,30004,4648,1865,12.7158977689626
"2186",7e+05,4,2.75,2870,8625,1,0,1,4,8,1860,1010,1959,2430,8479,75839,93844,34081,17844,25173,6790,4418,13.4588356140255
"2188",330000,3,2.5,1680,11312,1,0,0,3,7,1080,600,1959,1390,10700,58429,79111,26730,12973,18034,3308,1610,12.7068479334427
"2189",360000,4,2,1850,8827,1,0,0,3,7,1850,0,1969,1310,6901,75839,93844,34081,17844,25173,6790,4418,12.7938593104323
"2190",467000,3,1,1220,8040,1.5,0,0,3,7,1220,0,1965,1360,8040,54561,77284,39254,21120,28365,8769,6040,13.054084536651
"2195",265000,3,1.75,2050,10519,1,0,0,3,7,1240,810,1979,1770,9605,82134,95411,44430,23280,30762,8545,3142,12.4874851049684
"2196",490000,3,1.75,1720,12540,1,0,0,4,7,1720,0,1956,1440,11850,113778,152406,37519,18235,25978,9109,6951,13.1021606700868
"2197",360000,4,2.5,2850,4650,2,0,0,3,8,2850,0,2004,2850,4650,96134,107851,34362,16520,22542,5616,2160,12.7938593104323
"2199",399000,3,2.25,1880,12473,1,0,0,3,8,1420,460,1958,2300,10469,90588,106180,21568,10783,14892,4806,2727,12.896716695872
"2200",347000,4,2.5,2770,9751,2,0,0,3,8,2770,0,1989,2370,6950,89352,102333,44894,23934,31039,6640,2815,12.757080058929
"2202",585000,4,2.5,3110,6479,2,0,0,3,9,3110,0,2005,3110,7075,120814,136924,13977,7166,8997,3605,1563,13.279367126214
"2203",340000,4,2.5,2360,7475,2,0,0,3,8,2360,0,1992,2280,7570,67793,80105,36390,17983,23631,4197,1828,12.7367008965923
"2204",612000,3,2.5,2180,5496,2,0,0,3,8,2180,0,1994,2120,5496,100725,118764,26586,13667,18180,7016,5137,13.3244875614945
"2205",230000,2,1.75,1910,3376,2,0,0,3,8,1910,0,1980,1470,3623,96134,107851,34362,16520,22542,5616,2160,12.3458345879053
"2206",604000,4,2.5,2260,7753,2,0,0,3,9,2260,0,1989,2690,8924,100725,118764,26586,13667,18180,7016,5137,13.311329476917
"2207",250000,3,1.75,1770,8868,1,0,0,4,7,1770,0,1959,1630,9706,45078,54713,33817,14272,21690,2015,637,12.4292161968444
"2208",258500,3,2,1460,7930,1,0,0,3,7,1460,0,1989,1630,7930,96134,107851,34362,16520,22542,5616,2160,12.4626509729306
"2209",783000,4,2.75,2080,5000,1,0,0,5,8,1470,610,1940,1970,5000,87486,126065,20871,11579,15645,6235,4309,13.5708879749729
"2212",276000,3,1,1140,5000,1,0,0,3,7,1140,0,1960,1140,5000,53848,67124,24603,13130,17270,4080,1622,12.5281561446993
"2213",550000,4,2,1660,12377,1,0,0,3,8,1660,0,1966,1820,8968,86005,120029,24751,12214,17928,6228,3554,13.2176735572087
"2214",398000,4,1,1430,6240,1.5,0,0,5,7,1430,0,1953,1410,6240,54561,77284,39254,21120,28365,8769,6040,12.8942072842666
"2215",775000,3,3,1820,4300,1.5,0,0,4,8,1620,200,1914,1440,4300,77170,95689,23488,16073,19719,8553,4848,13.5606183083355
"2216",1027500,4,3,3540,10202,2,0,0,3,8,2720,820,1988,2780,10714,113778,152406,37519,18235,25978,9109,6951,13.8426392253525
"2217",327000,4,1,1620,6000,1.5,0,0,5,7,1620,0,1905,1310,6000,61736,75782,22659,12062,16157,3521,1623,12.6977154498794
"2218",564500,4,2.75,3100,14568,2,0,0,3,8,3100,0,1995,2860,14396,96630,114944,11143,5672,7326,2416,731,13.2436956625719
"2219",782000,4,1.75,1500,6820,1.5,0,0,5,7,1500,0,1905,1360,4125,92316,108574,31921,19236,23976,9337,6322,13.5696100195274
"2220",398000,4,2.5,2820,5510,2,0,0,3,9,2820,0,2005,2820,5510,96134,107851,34362,16520,22542,5616,2160,12.8942072842666
"2221",257000,3,1.75,1850,10920,1.5,0,0,3,6,1850,0,1915,1510,7871,81694,102856,42590,23454,30736,10266,5543,12.4568313638774
"2222",235000,4,2,1570,9415,2,0,0,4,7,1570,0,1984,1550,8978,74144,89981,42380,20347,27351,6093,2792,12.3673407931263
"2224",535000,2,1,920,9000,1,0,0,1,6,920,0,1954,1760,8400,105449,140627,36105,19304,26215,10665,6318,13.1900220258781
"2225",275000,3,2.5,1600,7000,2,0,0,4,8,1600,0,1993,1700,7000,96134,107851,34362,16520,22542,5616,2160,12.5245263766487
"2226",665000,3,2.5,2630,10047,2,0,0,3,9,2630,0,1996,2640,10620,102025,125816,27855,14967,19891,6923,4184,13.407542319638
"2228",465000,3,1.75,1490,10757,1,0,0,3,7,1060,430,1966,1490,10609,81694,102856,42590,23454,30736,10266,5543,13.0497926845695
"2229",210000,3,1.5,1160,5200,1,0,0,5,7,1160,0,1970,1170,5200,89352,102333,44894,23934,31039,6640,2815,12.2548628096996
"2230",265000,4,2.5,2040,4443,2,0,0,3,8,2040,0,2001,2040,4637,74144,89981,42380,20347,27351,6093,2792,12.4874851049684
"2231",426000,2,2.5,1550,2657,2,0,0,4,8,1550,0,1987,1570,2442,105449,140627,36105,19304,26215,10665,6318,12.9621946252515
"2232",529219,4,2.25,1990,7610,1,0,0,4,8,1290,700,1966,1820,8198,86005,120029,24751,12214,17928,6228,3554,13.1791576138286
"2235",608000,4,3,2400,7680,1,0,0,3,7,1200,1200,1956,2670,6342,87486,126065,20871,11579,15645,6235,4309,13.3179301609483
"2238",295450,3,2,2030,17120,1,0,2,4,8,1890,140,1966,1870,13662,74144,89981,42380,20347,27351,6093,2792,12.5962548967738
"2239",315000,2,1,840,5087,1,0,0,3,7,840,0,1925,1590,5087,55725,76481,44839,21938,31643,6978,4482,12.6603279178078
"2240",205000,4,2,1450,8175,1,0,0,4,7,1450,0,1967,1570,9024,67793,80105,36390,17983,23631,4197,1828,12.2307652581205
"2241",310000,3,1.5,1460,9908,1,0,0,3,7,1460,0,1952,1420,9582,46871,60372,10659,5255,6881,1031,359,12.6443275764613
"2242",1e+06,5,1,2010,5210,1.5,0,0,3,9,1890,120,1927,2330,5000,73794,122395,23912,15342,17421,7218,5057,13.8155105579643
"2244",284000,4,1.75,1880,8800,1,0,0,3,7,1130,750,1960,1340,8733,49188,62468,32569,15655,21948,2957,1223,12.5567295171433
"2247",509950,3,2.5,1970,9153,2,0,0,3,8,1970,0,2007,1800,9800,90588,106180,21568,10783,14892,4806,2727,13.1420679606787
"2250",280005,3,1.5,1130,7200,1,0,0,3,7,1130,0,1954,1130,7200,60839,74831,25363,12091,17242,3113,1370,12.5425627391348
"2252",330000,3,1,1030,7620,1,0,0,3,7,1030,0,1953,1030,7560,68342,92756,22849,12110,16469,5243,2623,12.7068479334427
"2253",340000,2,1,1700,6718,1,0,2,3,7,1230,470,1956,2040,7500,55845,70268,36495,17499,25240,3891,1913,12.7367008965923
"2257",245000,4,2,1870,8750,1,0,2,3,7,1870,0,1977,1770,8207,62842,82984,21567,10562,15210,2174,895,12.4090134895269
"2258",265000,3,2.5,1440,7741,1,0,0,4,7,1000,440,1983,1680,7316,67793,80105,36390,17983,23631,4197,1828,12.4874851049684
"2259",372400,3,2.5,2720,11937,2,0,0,3,9,2720,0,1990,2590,9683,67793,80105,36390,17983,23631,4197,1828,12.827723824385
"2260",390000,3,1.5,1240,8410,1,0,0,5,6,1240,0,1948,1630,8410,75839,93844,34081,17844,25173,6790,4418,12.8739020181058
"2261",208000,3,1,1020,6120,1,0,0,4,7,1020,0,1967,1370,8000,45078,54713,33817,14272,21690,2015,637,12.2452933586835
"2262",273000,2,0.5,1180,7750,1,0,0,4,6,590,590,1945,1380,8976,75839,93844,34081,17844,25173,6790,4418,12.5172270741671
"2263",455000,5,3.5,3080,7759,2,0,0,3,8,2310,770,2003,2980,8223,96630,114944,11143,5672,7326,2416,731,13.0280526979331
"2264",270000,4,2.5,1750,6397,2,0,0,3,7,1750,0,1988,1940,6502,72303,86045,50065,25296,32832,6007,3011,12.5061772379805
"2266",213550,3,2.5,1580,8541,2,0,0,3,7,1580,0,1990,1640,7542,71555,85389,32194,15530,21493,3623,1278,12.2716262762696
"2267",210000,5,1.75,2340,9148,2,0,0,3,7,2340,0,1957,1390,10019,55845,70268,36495,17499,25240,3891,1913,12.2548628096996
"2269",403500,4,2.75,2400,3844,1,0,0,5,7,1200,1200,1974,1100,3844,53836,69529,46329,24878,34944,9717,4648,12.9079317666921
"2270",235000,3,1.5,1300,7600,1,0,0,4,7,1300,0,1963,1570,7600,62842,82984,21567,10562,15210,2174,895,12.3673407931263
"2271",287500,3,2,1760,7147,1,0,0,4,6,880,880,1936,1720,7147,61736,75782,22659,12062,16157,3521,1623,12.5689781392195
"2273",183000,3,1.75,1070,8100,1,0,0,4,6,1070,0,1957,1260,8100,45078,54713,33817,14272,21690,2015,637,12.1172414318236
"2275",299500,3,1,1280,6726,1,0,0,3,6,1280,0,1958,1630,5000,62633,93145,28302,16189,21495,6420,3829,12.6098696965376
"2276",610000,4,2.25,1660,7350,1,0,0,3,8,1660,0,1965,1790,7455,86005,120029,24751,12214,17928,6228,3554,13.3212142361495
"2277",288350,3,1.5,1860,7963,1,0,0,3,7,1200,660,1963,1800,10400,42965,57503,24836,12329,16809,2320,810,12.5719302990436
"2280",418000,2,1.5,1480,1349,2,0,0,3,7,1240,240,2007,1550,1349,90625,106952,15415,9096,12025,4487,2404,12.9432367115069
"2281",660000,3,3,2260,1825,2,0,0,3,8,1660,600,2002,2260,1834,60563,89761,35052,22656,25268,9679,6099,13.3999951140026
"2283",429500,3,2.75,1650,7272,1,0,0,4,7,1230,420,1972,1770,7272,81694,102856,42590,23454,30736,10266,5543,12.9703770204064
"2284",569000,3,2,1990,3000,1.5,0,0,3,7,1230,760,1908,1600,4080,103816,162949,22230,12734,16892,6256,6715,13.2516357131085
"2285",250000,4,2,1960,7560,1,0,0,5,7,1160,800,1978,1950,7560,67793,80105,36390,17983,23631,4197,1828,12.4292161968444
"2286",225000,3,1.5,1310,10491,1,0,0,4,7,1310,0,1969,1430,9664,89352,102333,44894,23934,31039,6640,2815,12.3238556811866
"2288",306000,3,1,910,8658,1,0,0,3,7,910,0,1955,1170,10200,75839,93844,34081,17844,25173,6790,4418,12.6313403809345
"2289",517100,3,1.75,1580,9719,1,0,0,5,7,1580,0,1962,1760,8539,73330,94174,33944,18957,24046,6177,2986,13.1559915583843
"2290",354950,3,1.75,1780,9689,1,0,0,3,7,1130,650,1976,1660,9786,106545,144116,22779,11864,15725,5230,3141,12.7797322134675
"2293",275000,3,2.5,1720,8755,1,0,0,3,8,1000,720,1983,1720,8690,72303,86045,50065,25296,32832,6007,3011,12.5245263766487
"2294",390000,3,1.5,1600,10440,1,0,0,3,7,1600,0,1954,1600,8816,54561,77284,39254,21120,28365,8769,6040,12.8739020181058
"2295",260000,3,1.5,1320,9750,1,0,0,3,7,1320,0,1954,1530,9750,46871,60372,10659,5255,6881,1031,359,12.4684369099977
"2296",585000,5,2.75,2350,4178,1.5,0,0,3,8,1520,830,1922,1920,4178,103816,162949,22230,12734,16892,6256,6715,13.279367126214
"2298",342000,4,2.5,2300,6448,2,0,0,3,8,2300,0,2001,1860,5872,52713,65762,36730,16092,22367,3349,1133,12.7425660160447
"2300",252000,3,1.75,1430,7700,1,0,0,4,7,980,450,1981,1430,8625,67793,80105,36390,17983,23631,4197,1828,12.4371843664936
"2301",357000,3,1.75,2400,14012,1,0,0,3,9,2400,0,1971,2800,13988,46250,61010,46008,21432,30004,4648,1865,12.7854910607618
"2302",370000,3,1,940,7910,1,0,0,4,6,940,0,1959,1000,7700,86005,120029,24751,12214,17928,6228,3554,12.8212582846204
"2303",322500,3,1,1020,13504,1,0,0,5,7,1020,0,1959,1110,11158,73330,94174,33944,18957,24046,6177,2986,12.683858415218
"2304",210000,2,2,1680,5756,2,0,0,4,7,1680,0,1910,1340,5447,45078,54713,33817,14272,21690,2015,637,12.2548628096996
"2305",290000,2,1,1340,9840,1,0,0,3,7,1340,0,1949,1610,8949,53836,69529,46329,24878,34944,9717,4648,12.5776362019627
"2308",369160,4,2.25,2120,9680,2,0,2,4,8,2120,0,1965,2360,9647,46250,61010,46008,21432,30004,4648,1865,12.8189854333795
"2310",993000,4,2,2850,14810,2,0,0,5,8,2490,360,1954,2430,10454,102374,148860,32587,17207,24560,9986,7517,13.8084859430273
"2313",260000,3,1,1190,11120,1,0,0,3,6,1190,0,1947,1230,12720,112308,140900,5847,2780,4066,1349,624,12.4684369099977
"2314",243000,2,1,1770,5522,1.5,0,0,4,7,960,810,1943,1830,7378,60839,74831,25363,12091,17242,3113,1370,12.4008167223227
"2316",665000,4,2.5,2080,8100,1,0,2,5,8,1220,860,1952,2090,8100,92938,124737,19328,9763,14653,5414,3500,13.407542319638
"2317",898000,5,2.25,2700,9000,2,0,0,5,9,2700,0,1987,2630,9000,79579,98318,26269,14444,19103,7289,4937,13.7079253472843
"2318",583000,4,2.75,2200,9453,1,0,0,5,8,1100,1100,1955,1390,5355,62633,93145,28302,16189,21495,6420,3829,13.2759424653326
"2319",429000,4,1.75,2160,7700,2,0,0,2,8,2160,0,1977,2080,7700,105449,140627,36105,19304,26215,10665,6318,12.9692121979102
"2320",471000,3,2.5,2010,4059,2,0,0,3,8,2010,0,1998,2010,5779,81694,102856,42590,23454,30736,10266,5543,13.0626133729986
"2324",552500,3,1,1430,5000,1,0,0,3,7,1430,0,1949,1210,5000,92316,108574,31921,19236,23976,9337,6322,13.222208712374
"2325",437000,4,1.75,1700,10642,1,0,0,4,7,850,850,1954,1610,11200,113778,152406,37519,18235,25978,9109,6951,12.9876884740777
"2326",270000,4,2,1830,5220,1.5,0,0,3,7,1830,0,1951,1760,5757,55725,76481,44839,21938,31643,6978,4482,12.5061772379805
"2327",226740,3,1.5,1410,8800,1,0,0,4,7,1410,0,1965,2180,10108,74144,89981,42380,20347,27351,6093,2792,12.3315592655716
"2328",446500,4,2.5,3060,7920,1,0,0,3,8,1810,1250,1974,2690,7767,90588,106180,21568,10783,14892,4806,2727,13.0091946792987
"2329",283000,3,2,1820,15068,2,0,2,3,7,1520,300,1920,1490,9589,62842,82984,21567,10562,15210,2174,895,12.5532021766254
"2330",445000,4,1.75,2430,13211,1.5,0,0,4,7,2430,0,1909,1330,10500,112308,140900,5847,2780,4066,1349,624,13.0058295611484
"2331",250000,2,1,740,6840,1,0,0,5,6,740,0,1942,740,6840,68342,92756,22849,12110,16469,5243,2623,12.4292161968444
"2332",307000,3,1,770,6552,1,0,0,3,6,670,100,1942,920,7200,58429,79111,26730,12973,18034,3308,1610,12.6346030265693
"2333",315000,4,2.75,2200,8580,1,0,0,3,8,1860,340,1991,2290,7816,72303,86045,50065,25296,32832,6007,3011,12.6603279178078
"2335",264900,4,2.5,2040,7000,1,0,0,3,7,1250,790,1979,1900,7378,67793,80105,36390,17983,23631,4197,1828,12.4871076752602
"2337",328000,4,2.5,1990,3980,2,0,0,3,7,1990,0,2002,1990,4373,82134,95411,44430,23280,30762,8545,3142,12.7007688873663
"2338",358000,4,2.5,1830,7308,2,0,0,3,7,1830,0,2002,1830,5692,96134,107851,34362,16520,22542,5616,2160,12.7882882653828
"2339",325000,3,2.5,2540,4260,2,0,0,3,7,2540,0,2005,2190,4260,89352,102333,44894,23934,31039,6640,2815,12.6915804613119
"2341",230000,4,2,1440,10800,1,0,0,4,7,1440,0,1967,1190,7380,71555,85389,32194,15530,21493,3623,1278,12.3458345879053
"2342",545000,3,2,1550,4000,1,0,0,3,7,940,610,1955,1880,4000,87486,126065,20871,11579,15645,6235,4309,13.2085410736454
"2343",705380,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,2130,4106,100725,118764,26586,13667,18180,7016,5137,13.4664919436745
"2348",430000,2,1.5,1320,1194,3,0,0,3,7,1320,0,2001,1320,1250,77170,95689,23488,16073,19719,8553,4848,12.9715404876697
"2349",255000,4,2.5,2070,7800,2,0,0,3,8,2070,0,1989,1950,7815,46250,61010,46008,21432,30004,4648,1865,12.4490188241406
"2351",350000,3,1,940,7811,1,0,0,3,6,940,0,1959,1180,7490,86005,120029,24751,12214,17928,6228,3554,12.7656884334656
"2354",554000,3,2,1830,3500,1.5,0,0,5,7,1290,540,1909,1530,4000,77781,103895,23968,13416,18608,7160,4064,13.2249199657294
"2358",305000,4,1,1560,8450,1.5,0,0,4,6,1560,0,1954,1380,8100,66323,89866,21087,10825,15070,3695,2129,12.6280670555895
"2359",232000,3,2,1280,13356,1,0,0,3,7,1280,0,1994,1590,8071,89352,102333,44894,23934,31039,6640,2815,12.3544926506484
"2360",262000,4,2.5,2020,6236,2,0,0,3,7,2020,0,2002,1940,5076,71555,85389,32194,15530,21493,3623,1278,12.4760997827432
"2361",234000,3,1,1040,8122,1,0,0,5,7,1040,0,1971,1470,8676,55845,70268,36495,17499,25240,3891,1913,12.3630763943398
"2362",5e+05,4,2.75,2260,7209,1,0,3,3,7,1330,930,2002,1790,10860,54561,77284,39254,21120,28365,8769,6040,13.1223633774043
"2363",278000,3,1,860,7632,1,0,0,3,6,860,0,1920,890,7632,66323,89866,21087,10825,15070,3695,2129,12.5353763926728
"2365",5e+05,4,1.75,2290,9215,1,0,0,5,8,1270,1020,1969,2290,10200,102025,125816,27855,14967,19891,6923,4184,13.1223633774043
"2366",366500,4,2.75,2070,9300,1,0,0,5,7,1120,950,1945,1010,8308,75839,93844,34081,17844,25173,6790,4418,12.8117538003088
"2368",1101000,3,1.5,2220,4830,2,0,3,3,9,1790,430,1928,1670,4830,77781,103895,23968,13416,18608,7160,4064,13.9117294157048
"2369",575000,2,1.75,1840,4076,1,0,0,3,8,1140,700,1957,1540,4076,92316,108574,31921,19236,23976,9337,6322,13.2621253197795
"2373",254000,2,1,1060,8187,1,0,0,4,6,1060,0,1952,1260,8188,53836,69529,46329,24878,34944,9717,4648,12.4450895460007
"2374",443725,3,1.75,1250,3880,1,0,0,4,7,750,500,1944,1240,3880,92316,108574,31921,19236,23976,9337,6322,13.0029602801565
"2376",469000,3,2.25,2070,9957,1,0,0,3,8,1440,630,1977,2070,10158,75839,93844,34081,17844,25173,6790,4418,13.0583580474284
"2378",437000,5,2,2190,8316,1,0,0,3,7,1390,800,1961,2010,8316,53143,71222,24681,12269,16958,3293,1439,12.9876884740777
"2379",550000,4,3,2760,13113,1,0,0,4,8,1760,1000,1974,1900,13113,90588,106180,21568,10783,14892,4806,2727,13.2176735572087
"2380",172040,3,2.25,1710,7134,1,0,0,4,7,1130,580,1979,1790,7455,67793,80105,36390,17983,23631,4197,1828,12.0554822868977
"2381",363000,3,2,1750,7000,1,0,0,3,8,1750,0,1993,1840,6969,96134,107851,34362,16520,22542,5616,2160,12.802158113247
"2382",282000,3,2.25,1552,3600,2,0,0,3,7,1552,0,2012,1677,3600,74144,89981,42380,20347,27351,6093,2792,12.5496623499203
"2386",269950,4,2.5,1960,7230,2,0,0,3,8,1960,0,2002,1850,7208,72303,86045,50065,25296,32832,6007,3011,12.5059920356464
"2388",193000,3,1.5,1180,7000,1,0,0,4,7,1180,0,1977,1630,7500,72303,86045,50065,25296,32832,6007,3011,12.170445467887
"2389",340000,4,2.25,2230,6791,2,0,0,3,8,2230,0,2005,2420,6297,96134,107851,34362,16520,22542,5616,2160,12.7367008965923
"2391",371000,3,2.5,2150,8361,2,0,0,3,8,2150,0,1991,2150,9368,82134,95411,44430,23280,30762,8545,3142,12.8239573415896
"2393",3e+05,3,2.5,1830,12750,2,0,0,3,7,1830,0,1991,1610,10000,49188,62468,32569,15655,21948,2957,1223,12.6115377536383
"2394",449950,4,3,2800,6977,2,0,0,3,8,2800,0,2003,2800,6600,96134,107851,34362,16520,22542,5616,2160,13.0168917444621
"2395",299500,3,2.5,2090,7163,2,0,0,3,8,2090,0,1989,2320,8634,46250,61010,46008,21432,30004,4648,1865,12.6098696965376
"2397",335000,4,1.75,1670,9472,1,0,0,3,7,1100,570,1960,1080,5195,53848,67124,24603,13130,17270,4080,1622,12.7218858108072
"2398",280000,4,2.25,1990,7350,1,0,0,4,8,1180,810,1978,2030,7210,46250,61010,46008,21432,30004,4648,1865,12.5425448821514
"2399",446000,4,2.25,2270,7800,1,0,0,3,7,1290,980,1977,1480,7280,81694,102856,42590,23454,30736,10266,5543,13.0080742310022
"2401",325000,3,1,950,4500,1,0,0,4,6,950,0,1943,1140,4500,55725,76481,44839,21938,31643,6978,4482,12.6915804613119
"2402",450000,3,1.75,1610,11200,1,0,0,3,7,1610,0,1955,1610,11200,105449,140627,36105,19304,26215,10665,6318,13.0170028617465
"2403",322500,4,2.5,1940,7107,2,0,0,3,7,1940,0,2000,1850,5705,96134,107851,34362,16520,22542,5616,2160,12.683858415218
"2404",453000,3,1,1210,9473,1,0,0,5,7,1210,0,1955,1700,11465,113778,152406,37519,18235,25978,9109,6951,13.0236474044652
"2405",655000,4,2.5,2570,4412,2,0,0,3,9,2570,0,2001,2460,5470,81694,102856,42590,23454,30736,10266,5543,13.3923905146174
"2410",435000,4,2.25,1990,8548,2,0,0,3,8,1990,0,1973,2320,8926,105449,140627,36105,19304,26215,10665,6318,12.9831013100708
"2411",242000,3,2,1260,8092,1,0,0,3,7,1260,0,1986,1950,8092,96134,107851,34362,16520,22542,5616,2160,12.3966930051388
"2415",165000,3,1.5,1280,7742,1,0,0,3,7,1280,0,1973,1566,7696,71555,85389,32194,15530,21493,3623,1278,12.0137007528827
"2416",335000,3,1,2320,6750,1,0,0,3,7,1160,1160,1960,1230,6075,55725,76481,44839,21938,31643,6978,4482,12.7218858108072
"2417",286700,3,1,1220,6600,1,0,0,3,6,1220,0,1958,1100,6600,120814,136924,13977,7166,8997,3605,1563,12.5661916518715
"2419",280000,3,1.75,1590,7280,1,0,0,3,7,1140,450,1974,1590,9634,82134,95411,44430,23280,30762,8545,3142,12.5425448821514
"2420",580000,4,2.5,2220,7064,2,0,0,3,8,2220,0,1988,2220,7451,100725,118764,26586,13667,18180,7016,5137,13.2707833825226
"2421",754800,2,2.5,2770,7781,2,0,0,3,8,2770,0,2006,1870,5984,120970,152901,21185,10046,14975,5486,4300,13.5342080924765
"2422",525000,4,2.5,2303,16801,2,0,0,3,8,2303,0,1995,2080,14013,96630,114944,11143,5672,7326,2416,731,13.1711535415738
"2423",562000,3,1.75,1600,10530,1,0,2,3,8,1600,0,1962,2590,8274,75839,93844,34081,17844,25173,6790,4418,13.2392571288758
"2424",575000,4,1.75,1280,6060,1,0,0,3,7,860,420,1926,1490,4680,92316,108574,31921,19236,23976,9337,6322,13.2621253197795
"2427",335000,3,2.5,1700,6698,2,0,0,3,7,1700,0,1997,2190,7346,96134,107851,34362,16520,22542,5616,2160,12.7218858108072
"2428",473000,3,2.75,1050,7200,1,0,0,3,7,1050,0,1985,1860,9000,54561,77284,39254,21120,28365,8769,6040,13.0668506674741
"2429",350000,4,2.75,2990,11210,1,0,1,4,8,1880,1110,1977,2790,9858,72303,86045,50065,25296,32832,6007,3011,12.7656884334656
"2431",305500,3,1,1240,6090,1,0,0,4,7,1240,0,1950,1550,9096,75839,93844,34081,17844,25173,6790,4418,12.6297050575938
"2433",233000,2,2.25,850,1656,2,0,0,3,8,850,0,2001,850,1312,53836,69529,46329,24878,34944,9717,4648,12.3587937325478
"2434",490000,3,1.75,1540,9000,1,0,0,3,8,1540,0,1971,1710,7488,54561,77284,39254,21120,28365,8769,6040,13.1021606700868
"2436",355000,3,2.25,2550,9674,1,0,0,3,7,1850,700,1959,2240,9674,60839,74831,25363,12091,17242,3113,1370,12.7798730684576
"2437",360000,2,2,1770,7607,1,0,0,4,8,1770,0,1987,2090,7109,82134,95411,44430,23280,30762,8545,3142,12.7938593104323
"2439",985000,3,3.5,2600,11920,2,0,0,5,8,2600,0,1969,2430,10050,102374,148860,32587,17207,24560,9986,7517,13.8003969201542
"2440",349950,2,3.25,1570,2031,2,0,0,3,8,1310,260,2006,1570,2039,68342,92756,22849,12110,16469,5243,2623,12.7655455661177
"2441",520000,4,2.5,3060,7161,2,0,0,3,8,2860,200,2005,2950,6822,120814,136924,13977,7166,8997,3605,1563,13.1615840905576
"2442",355950,4,2.5,1960,8540,1,0,0,3,7,1220,740,1955,1910,9120,92938,124737,19328,9763,14653,5414,3500,12.782545550532
"2444",143000,3,1,1090,3315,1,0,0,4,6,1090,0,1969,960,3120,74144,89981,42380,20347,27351,6093,2792,11.870599909242
"2446",355000,3,1,940,8512,1,0,0,4,7,940,0,1967,1060,8512,105449,140627,36105,19304,26215,10665,6318,12.7798730684576
"2448",2e+05,5,1.75,1770,15525,1,0,0,4,7,1770,0,1959,1370,10395,93918,113787,36409,18884,24796,7243,3704,12.2060726455302
"2451",409900,2,2.5,1590,1845,2,0,0,3,9,1590,0,1997,2320,3174,105449,140627,36105,19304,26215,10665,6318,12.9236685064924
"2452",265000,4,1,1290,6034,1,0,0,3,6,1050,240,1950,1060,6034,55725,76481,44839,21938,31643,6978,4482,12.4874851049684
"2454",306000,4,2.5,2490,8124,2,0,0,3,7,2490,0,2001,2760,6300,74144,89981,42380,20347,27351,6093,2792,12.6313403809345
"2455",381000,3,2.5,1470,3999,2,0,0,3,7,1470,0,2003,1960,4444,120814,136924,13977,7166,8997,3605,1563,12.8505546541088
"2458",408000,2,1,810,7440,1,0,0,5,6,810,0,1948,830,7500,53836,69529,46329,24878,34944,9717,4648,12.9190224533863
"2461",438400,2,1,1340,8100,1,0,0,4,7,1340,0,1953,1700,8100,92938,124737,19328,9763,14653,5414,3500,12.9908870146159
"2463",703000,3,2,1360,5980,1.5,0,0,3,8,1360,0,1945,1520,4440,77781,103895,23968,13416,18608,7160,4064,13.4631121707928
"2464",262000,3,1.75,1320,6530,1,0,0,4,7,1320,0,1989,1620,6817,72303,86045,50065,25296,32832,6007,3011,12.4760997827432
"2468",332000,4,2.5,1980,6566,2,0,0,3,8,1980,0,2004,2590,6999,89352,102333,44894,23934,31039,6640,2815,12.7128902478986
"2469",824000,4,2.5,2320,14240,1,0,0,4,9,1620,700,1974,2810,13200,86005,120029,24751,12214,17928,6228,3554,13.6219258088916
"2470",290000,4,2,1660,4788,1,0,0,3,7,1660,0,1968,1150,5000,62633,93145,28302,16189,21495,6420,3829,12.5776362019627
"2471",7e+05,3,2.5,1660,1545,2,0,2,3,9,1400,260,2002,1820,2570,85957,105832,24450,17767,20034,8328,6001,13.4588356140255
"2472",550000,2,1,1080,3420,1,0,0,4,7,780,300,1922,1380,3656,77170,95689,23488,16073,19719,8553,4848,13.2176735572087
